index,new,total,WOJ,POW,NAZWA,lat,long
19,0.0,1.0,12,61.0,Kraków,50.0469432,19.997153435836697
26,0.0,1.0,28,62.0,Olsztyn,53.7767239,20.477781292210345
30,1.0,1.0,30,64.0,Poznań,52.40063215,16.91978694287606
47,0.0,2.0,14,65.0,Warszawa,52.2337172,21.07141112883227
49,1.0,3.0,2,64.0,Wrocław,51.1263106,16.97819633051261
169,3.0,5.0,24,11.0,powiat raciborski,50.08696745,18.20007980353008
181,0.0,2.0,32,14.0,powiat stargardzki,53.3152879,15.1651032897048
188,0.0,1.0,28,17.0,powiat szczycieński,53.541742049999996,21.018362051755837
190,0.0,1.0,8,5.0,powiat słubicki,52.32319505,14.73873196282951
