index,new,total,WOJ,POW,NAZWA,lat,long
5,0.0,1.0,24,63.0,Chorzów,50.288556299999996,18.97044253093511
8,0.0,1.0,28,61.0,Elbląg,54.1988997,19.44108568736702
9,2.0,2.0,22,61.0,Gdańsk,54.36143405,18.62821847557274
19,0.0,1.0,12,61.0,Kraków,50.0469432,19.997153435836697
23,9.0,15.0,6,63.0,Lublin,51.218194499999996,22.554677565192677
26,0.0,2.0,28,62.0,Olsztyn,53.7767239,20.477781292210345
30,1.0,8.0,30,64.0,Poznań,52.40063215,16.91978694287606
36,1.0,3.0,18,63.0,Rzeszów,50.00715125,22.009911525182105
40,0.0,1.0,24,75.0,Sosnowiec,50.271229500000004,19.215561953947084
42,0.0,3.0,32,62.0,Szczecin,53.42968095,14.592912670292268
47,4.0,14.0,14,65.0,Warszawa,52.2337172,21.07141112883227
49,3.0,11.0,2,64.0,Wrocław,51.1263106,16.97819633051261
63,2.0,2.0,2,1.0,powiat bolesławiecki,51.32167095,15.521029999912347
74,0.0,3.0,24,3.0,powiat cieszyński,49.7261277,18.810229967000996
105,1.0,1.0,16,5.0,powiat krapkowicki,50.45362035,17.95509665163815
117,0.0,1.0,18,8.0,powiat leżajski,50.2613726,22.41397851222215
122,0.0,1.0,6,9.0,powiat lubelski,51.134151700000004,22.438471588763633
133,0.0,1.0,18,12.0,powiat niżański,50.4641343,22.268839251798532
143,0.0,1.0,2,14.0,powiat oleśnicki,51.2547988,17.50045451245783
163,0.0,1.0,14,21.0,powiat pruszkowski,52.1010833,20.840943502965125
169,0.0,5.0,24,11.0,powiat raciborski,50.08696745,18.20007980353008
180,1.0,1.0,26,11.0,powiat starachowicki,51.0538357,21.145951135413213
181,0.0,2.0,32,14.0,powiat stargardzki,53.3152879,15.1651032897048
183,1.0,3.0,16,11.0,powiat strzelecki,50.5294977,18.269227416432535
188,0.0,1.0,28,17.0,powiat szczycieński,53.541742049999996,21.018362051755837
190,0.0,1.0,8,5.0,powiat słubicki,52.32319505,14.73873196282951
207,0.0,2.0,24,16.0,powiat zawierciański,50.5442701,19.619601717431657
210,0.0,2.0,18,10.0,powiat łańcucki,50.08654905,22.27464232463597
223,10.0,15.0,10,61.0,Łódź,51.7687323,19.4569911
