new,total,WOJ,POW,NAZWA,lat,long
8.0,14.0,20,61.0,Białystok,53.127505049999996,23.147050870161664
0.0,2.0,24,61.0,Bielsko-Biała,49.81207845,19.029198802013944
2.0,26.0,4,61.0,Bydgoszcz,53.1219648,18.0002529
5.0,9.0,24,62.0,Bytom,50.3657432,18.87153251609449
3.0,19.0,6,62.0,Chełm,51.13558825,23.493936945891463
0.0,14.0,24,63.0,Chorzów,50.288556299999996,18.97044253093511
1.0,13.0,24,64.0,Częstochowa,50.8089997,19.1244089281233
0.0,2.0,24,65.0,Dąbrowa Górnicza,50.36913425,19.289871101330505
1.0,14.0,28,61.0,Elbląg,54.1988997,19.44108568736702
3.0,24.0,22,61.0,Gdańsk,54.36143405,18.62821847557274
0.0,4.0,22,62.0,Gdynia,54.50383255,18.462806155884614
3.0,10.0,24,66.0,Gliwice,50.30113145,18.662347227971978
0.0,3.0,8,61.0,Gorzów Wielkopolski,52.73057555,15.210755319093852
0.0,1.0,4,62.0,Grudziądz,53.47251195,18.761893676880046
1.0,1.0,2,61.0,Jelenia Góra,50.9031028,15.7344306
1.0,18.0,30,61.0,Kalisz,51.74736505,18.079590087700034
4.0,31.0,24,69.0,Katowice,50.2137321,19.00588775660632
0.0,7.0,26,61.0,Kielce,50.85403585,20.609914352101452
0.0,10.0,32,61.0,Koszalin,54.20727105,16.217530768271565
10.0,66.0,12,61.0,Kraków,50.0469432,19.997153435836697
1.0,4.0,18,61.0,Krosno,49.68875655,21.753404714509344
0.0,2.0,2,62.0,Legnica,51.2081617,16.1603187
0.0,2.0,30,63.0,Leszno,51.8436068,16.58042182076424
7.0,43.0,6,63.0,Lublin,51.218194499999996,22.554677565192677
0.0,1.0,24,70.0,Mysłowice,50.2096333,19.13277507211892
0.0,8.0,12,62.0,Nowy Sącz,49.61030395,20.71595521113809
0.0,13.0,28,62.0,Olsztyn,53.7767239,20.477781292210345
0.0,6.0,16,61.0,Opole,50.678792900000005,17.929884436033525
1.0,2.0,24,71.0,Piekary Śląskie,50.3757787,18.937873187224838
0.0,3.0,10,62.0,Piotrków Trybunalski,51.412841400000005,19.688801329018943
6.0,51.0,30,64.0,Poznań,52.40063215,16.91978694287606
1.0,2.0,18,62.0,Przemyśl,49.78355525,22.78851130307014
1.0,2.0,14,62.0,Płock,52.535347099999996,19.713630180599928
0.0,5.0,14,63.0,Radom,51.417157599999996,21.160945939663797
1.0,2.0,24,72.0,Ruda Śląska,50.270303,18.864375646334572
0.0,2.0,24,73.0,Rybnik,50.1105691,18.553187366087336
0.0,12.0,18,63.0,Rzeszów,50.00715125,22.009911525182105
2.0,5.0,14,64.0,Siedlce,52.161593800000006,22.281253302988254
0.0,1.0,24,74.0,Siemianowice Śląskie,50.31285075,19.017785857354603
0.0,2.0,10,63.0,Skierniewice,51.95805445,20.144870111023707
0.0,3.0,24,75.0,Sosnowiec,50.271229500000004,19.215561953947084
9.0,26.0,32,62.0,Szczecin,53.42968095,14.592912670292268
4.0,12.0,18,64.0,Tarnobrzeg,50.58372,21.711638132824728
0.0,3.0,12,63.0,Tarnów,50.025988299999995,20.96405842696229
0.0,2.0,4,63.0,Toruń,53.0102721,18.6048094
2.0,12.0,24,77.0,Tychy,50.126498049999995,19.006784585824853
37.0,258.0,14,65.0,Warszawa,52.2337172,21.07141112883227
1.0,3.0,2,65.0,Wałbrzych,50.785221,16.284640336127822
18.0,197.0,2,64.0,Wrocław,51.1263106,16.97819633051261
0.0,3.0,4,64.0,Włocławek,52.6655636,19.096129748054388
0.0,5.0,24,78.0,Zabrze,50.31428055,18.781576310579183
0.0,7.0,6,64.0,Zamość,50.721273,23.259588703837892
1.0,15.0,8,62.0,Zielona Góra,51.92766315,15.549005417916433
1.0,1.0,20,1.0,powiat augustowski,53.7973442,23.134066497228158
0.0,8.0,10,1.0,powiat bełchatowski,51.3686224,19.276131823300723
60.0,60.0,14,1.0,powiat białobrzeski,51.6208095,20.967559332129618
0.0,4.0,32,1.0,powiat białogardzki,53.976545900000005,16.054541633349306
0.0,1.0,20,3.0,powiat bielski,52.746104599999995,23.004387105038838
0.0,1.0,24,2.0,powiat bielski,52.746104599999995,23.004387105038838
0.0,2.0,24,14.0,powiat bieruńsko-lędziński,50.093479,19.14103714727102
0.0,4.0,6,2.0,powiat biłgorajski,50.58573675,22.74886844985388
1.0,5.0,12,1.0,powiat bocheński,49.9604079,20.431657842691287
1.0,6.0,2,1.0,powiat bolesławiecki,51.32167095,15.521029999912347
0.0,4.0,28,2.0,powiat braniewski,54.277761999999996,19.955522341865752
0.0,1.0,4,2.0,powiat brodnicki,53.2696512,19.412903502393796
0.0,3.0,12,2.0,powiat brzeski,49.98132365,20.659036923891136
0.0,3.0,16,1.0,powiat brzeski,49.98132365,20.659036923891136
0.0,1.0,26,1.0,powiat buski,50.455830649999996,20.798988753329322
0.0,3.0,24,1.0,powiat będziński,50.415351900000005,19.113039906701346
0.0,4.0,6,3.0,powiat chełmski,51.1218841,23.255660107673716
0.0,1.0,12,3.0,powiat chrzanowski,50.12058425,19.40815850268288
0.0,1.0,14,2.0,powiat ciechanowski,52.90218205,20.627615514357508
0.0,17.0,24,3.0,powiat cieszyński,49.7261277,18.810229967000996
0.0,9.0,30,2.0,powiat czarnkowsko-trzcianecki,52.92876845,16.372969704522475
0.0,3.0,12,4.0,powiat dąbrowski,50.230880850000005,20.94621028576996
0.0,1.0,18,3.0,powiat dębicki,49.9993844,21.311198548609383
0.0,2.0,28,4.0,powiat elbląski,54.1592651,19.638304593203088
0.0,1.0,28,6.0,powiat giżycki,54.01819955,21.85342119561347
3.0,4.0,24,5.0,powiat gliwicki,50.3626831,18.48550244150235
1.0,1.0,30,3.0,powiat gnieźnieński,52.55358914999999,17.58683037724417
1.0,2.0,12,5.0,powiat gorlicki,49.59160285,21.16659840672487
1.0,6.0,14,5.0,powiat grodziski,52.06340865,20.600240305298207
1.0,6.0,30,5.0,powiat grodziski,52.06340865,20.600240305298207
0.0,1.0,32,6.0,powiat gryfiński,53.02288585,14.506296155841653
0.0,27.0,14,6.0,powiat grójecki,51.7583157,20.870287000122275
0.0,1.0,2,4.0,powiat górowski,51.6367477,16.556269422513985
0.0,2.0,16,2.0,powiat głubczycki,50.148630350000005,17.832521806568543
1.0,1.0,28,7.0,powiat iławski,53.67479095,19.4915030031177
0.0,1.0,6,5.0,powiat janowski,50.7457627,22.423514087845795
1.0,2.0,18,4.0,powiat jarosławski,50.02478535,22.79940147774937
0.0,2.0,18,5.0,powiat jasielski,49.6427046,21.46570808223446
0.0,2.0,22,5.0,powiat kartuski,54.326832249999995,18.108863258211223
0.0,1.0,14,7.0,powiat kozienicki,51.6397453,21.40153169429992
0.0,1.0,32,8.0,powiat kołobrzeski,54.0496789,15.599773536245072
0.0,3.0,30,11.0,powiat kościański,52.06606645,16.66913878248318
0.0,1.0,16,5.0,powiat krapkowicki,50.45362035,17.95509665163815
0.0,4.0,30,12.0,powiat krotoszyński,51.74117665,17.431656750422935
0.0,2.0,10,2.0,powiat kutnowski,52.25145895,19.42696709100133
0.0,1.0,22,7.0,powiat kwidzyński,53.746957050000006,19.076837234833775
0.0,8.0,16,3.0,powiat kędzierzyńsko-kozielski,50.29412965,18.16097077775825
0.0,1.0,28,8.0,powiat kętrzyński,54.1361925,21.28938022588305
0.0,3.0,14,8.0,powiat legionowski,52.45180335,20.93737676935664
0.0,1.0,18,21.0,powiat leski,49.31976165,22.355216461013466
0.0,8.0,18,8.0,powiat leżajski,50.2613726,22.41397851222215
2.0,2.0,12,7.0,powiat limanowski,49.682583699999995,20.29599595036101
0.0,2.0,18,9.0,powiat lubaczowski,50.19563805,23.145409690234906
0.0,1.0,2,10.0,powiat lubański,51.0450548,15.27590168150317
0.0,1.0,6,9.0,powiat lubelski,51.134151700000004,22.438471588763633
2.0,6.0,24,7.0,powiat lubliniecki,50.67380945,18.746462663103387
0.0,9.0,18,11.0,powiat mielecki,50.31408045,21.397504902440524
0.0,1.0,14,12.0,powiat miński,52.18406335,21.65434349742045
1.0,1.0,4,9.0,powiat mogileński,52.66174655,18.02283400345263
0.0,2.0,24,9.0,powiat myszkowski,50.6055959,19.294801380090284
1.0,4.0,12,9.0,powiat myślenicki,49.77508335,19.97600902574422
0.0,1.0,14,13.0,powiat mławski,53.054948499999995,20.32222017508893
1.0,2.0,4,10.0,powiat nakielski,53.09484255,17.597400406628683
0.0,3.0,18,12.0,powiat niżański,50.4641343,22.268839251798532
0.0,5.0,28,12.0,powiat nowomiejski,53.43573635,19.54927877039548
1.0,1.0,8,4.0,powiat nowosolski,51.8423506,15.70341376963519
0.0,3.0,16,7.0,powiat nyski,50.4604114,17.30419272895757
0.0,2.0,28,13.0,powiat olecki,54.05127005,22.40859883017808
0.0,1.0,16,8.0,powiat oleski,50.8785969,18.483116090098807
0.0,2.0,2,14.0,powiat oleśnicki,51.2547988,17.50045451245783
0.0,7.0,10,7.0,powiat opoczyński,51.3923832,20.150494523127865
0.0,1.0,26,7.0,powiat ostrowiecki,50.942312799999996,21.394702621810175
1.0,7.0,14,16.0,powiat ostrowski,52.795039349999996,21.988753353928487
1.0,7.0,30,17.0,powiat ostrowski,52.795039349999996,21.988753353928487
0.0,1.0,14,15.0,powiat ostrołęcki,53.140012,21.452380529038315
0.0,2.0,28,15.0,powiat ostródzki,53.72917325,19.93416652149
0.0,1.0,12,13.0,powiat oświęcimski,49.992336300000005,19.29720956624182
0.0,1.0,10,8.0,powiat pabianicki,51.675757899999994,19.3211193137664
0.0,5.0,10,10.0,powiat piotrkowski,51.3783344,19.57712108963346
0.0,1.0,28,16.0,powiat piski,53.680787800000004,21.822211854231615
0.0,1.0,26,8.0,powiat pińczowski,50.49976195,20.493568659704557
0.0,1.0,10,11.0,powiat poddębicki,51.898392099999995,18.963900374241888
0.0,1.0,32,11.0,powiat policki,53.5321201,14.43619105091408
0.0,1.0,16,10.0,powiat prudnicki,50.409801200000004,17.663464613086518
0.0,13.0,14,21.0,powiat pruszkowski,52.1010833,20.840943502965125
0.0,3.0,14,23.0,powiat przysuski,51.42374065,20.630001909255945
0.0,1.0,6,14.0,powiat puławski,51.4187204,22.070295947750346
2.0,2.0,14,24.0,powiat pułtuski,52.67182355,20.991724315967723
0.0,10.0,24,11.0,powiat raciborski,50.08696745,18.20007980353008
0.0,2.0,10,12.0,powiat radomszczański,51.064836549999995,19.631152903045617
0.0,3.0,10,13.0,powiat rawski,51.7621565,20.37659114942804
1.0,1.0,18,17.0,powiat sanocki,49.42978315,22.101303967055973
0.0,1.0,10,14.0,powiat sieradzki,51.6037195,18.612827031251342
0.0,1.0,10,15.0,powiat skierniewicki,51.94468755,20.009552327706285
1.0,6.0,18,18.0,powiat stalowowolski,50.5910262,22.091776064512587
0.0,3.0,26,11.0,powiat starachowicki,51.0538357,21.145951135413213
0.0,5.0,32,14.0,powiat stargardzki,53.3152879,15.1651032897048
3.0,8.0,16,11.0,powiat strzelecki,50.5294977,18.269227416432535
0.0,1.0,8,6.0,powiat strzelecko-drezdenecki,52.91231635,15.64815393856539
1.0,2.0,18,19.0,powiat strzyżowski,49.876524599999996,21.71591217101612
0.0,2.0,8,7.0,powiat sulęciński,52.427397549999995,15.180315644554113
0.0,1.0,28,17.0,powiat szczycieński,53.541742049999996,21.018362051755837
0.0,3.0,14,30.0,powiat szydłowiecki,51.256042699999995,20.84392539860568
0.0,3.0,8,5.0,powiat słubicki,52.32319505,14.73873196282951
2.0,8.0,24,13.0,powiat tarnogórski,50.472343499999994,18.879310592903682
0.0,2.0,22,14.0,powiat tczewski,53.918865049999994,18.747123157425225
0.0,5.0,6,18.0,powiat tomaszowski,50.47822645,23.579682194411255
0.0,5.0,10,16.0,powiat tomaszowski,50.47822645,23.579682194411255
1.0,5.0,12,18.0,powiat wadowicki,49.8942885,19.53470693406704
0.0,1.0,32,17.0,powiat wałecki,53.23570755,16.31916445562647
1.0,3.0,22,15.0,powiat wejherowski,54.61736835,18.101614685500984
3.0,11.0,12,19.0,powiat wielicki,49.98181865,20.17284806223359
0.0,1.0,30,29.0,powiat wolsztyński,52.0879324,16.100285128712613
0.0,3.0,8,12.0,powiat wschowski,51.83020285,16.120000996476033
0.0,7.0,24,16.0,powiat zawierciański,50.5442701,19.619601717431657
0.0,13.0,10,20.0,powiat zgierski,51.9038913,19.43926200949343
0.0,5.0,18,10.0,powiat łańcucki,50.08654905,22.27464232463597
0.0,2.0,6,11.0,powiat łukowski,51.85309695,22.11522865052938
0.0,1.0,30,26.0,powiat śremski,52.062481,17.100997794733544
0.0,9.0,2,19.0,powiat świdnicki,50.87042935,16.47761744813762
0.0,9.0,6,17.0,powiat świdnicki,50.87042935,16.47761744813762
2.0,3.0,32,16.0,powiat świdwiński,53.80651975,15.882216965014281
0.0,3.0,8,8.0,powiat świebodziński,52.237810249999995,15.506973618070116
0.0,1.0,8,10.0,powiat żagański,51.5942426,15.527949647442087
0.0,2.0,8,11.0,powiat żarski,51.6287068,15.007639434972987
0.0,1.0,4,19.0,powiat żniński,52.82236815,17.690682211567513
0.0,2.0,14,38.0,powiat żyrardowski,51.9997668,20.436349321994456
0.0,9.0,20,62.0,Łomża,53.18243065,22.052183817808846
17.0,130.0,10,61.0,Łódź,51.7687323,19.4569911
