,new,total,WOJ,POW,NAZWA,lat,long
73,0.0,3.0,24,3.0,powiat cieszyński,49.7261277,18.810229967000996
74,0.0,0.0,30,2.0,powiat czarnkowsko-trzcianecki,52.92876845,16.372969704522475
75,0.0,0.0,12,4.0,powiat dąbrowski,50.230880850000005,20.94621028576996
76,0.0,0.0,18,3.0,powiat dębicki,49.9993844,21.311198548609383
77,0.0,0.0,28,4.0,powiat elbląski,54.1592651,19.638304593203088
78,0.0,0.0,14,3.0,powiat garwoliński,51.826683200000005,21.65286960749598
79,0.0,0.0,28,6.0,powiat giżycki,54.01819955,21.85342119561347
80,0.0,0.0,24,5.0,powiat gliwicki,50.3626831,18.48550244150235
81,0.0,0.0,30,3.0,powiat gnieźnieński,52.55358914999999,17.58683037724417
82,0.0,0.0,12,5.0,powiat gorlicki,49.59160285,21.16659840672487
83,0.0,0.0,30,4.0,powiat gostyński,51.83777195,17.09558998626292
84,0.0,0.0,14,5.0,powiat grodziski,52.06340865,20.600240305298207
85,0.0,0.0,30,5.0,powiat grodziski,52.06340865,20.600240305298207
86,0.0,0.0,32,6.0,powiat gryfiński,53.02288585,14.506296155841653
87,0.0,0.0,14,6.0,powiat grójecki,51.7583157,20.870287000122275
88,0.0,0.0,2,4.0,powiat górowski,51.6367477,16.556269422513985
89,0.0,0.0,16,2.0,powiat głubczycki,50.148630350000005,17.832521806568543
90,0.0,0.0,6,4.0,powiat hrubieszowski,50.707770499999995,23.848822265086177
91,0.0,0.0,28,7.0,powiat iławski,53.67479095,19.4915030031177
92,0.0,0.0,6,5.0,powiat janowski,50.7457627,22.423514087845795
93,0.0,0.0,18,4.0,powiat jarosławski,50.02478535,22.79940147774937
94,0.0,0.0,18,5.0,powiat jasielski,49.6427046,21.46570808223446
95,0.0,0.0,22,5.0,powiat kartuski,54.326832249999995,18.108863258211223
96,0.0,0.0,14,7.0,powiat kozienicki,51.6397453,21.40153169429992
97,0.0,0.0,32,8.0,powiat kołobrzeski,54.0496789,15.599773536245072
