Timestamp,new,total,Unnamed: 0,WOJ,POW,NAZWA,lat,long
2020-04-02,0.0,8.0,1015,10,1.0,powiat bełchatowski,51.3686224,19.276131823300727
2020-04-02,0.0,60.0,1583,14,1.0,powiat białobrzeski,51.6208095,20.967559332129614
2020-04-02,0.0,4.0,3950,32,1.0,powiat białogardzki,53.97654590000001,16.054541633349306
2020-04-02,1.0,2.0,2516,20,3.0,powiat bielski,52.7461046,23.004387105038838
2020-04-02,1.0,2.0,2857,24,2.0,powiat bielski,52.7461046,23.004387105038838
2020-04-02,0.0,6.0,3004,24,14.0,powiat bieruńsko-lędziński,50.093478999999995,19.14103714727102
2020-04-02,2.0,7.0,576,6,2.0,powiat biłgorajski,50.58573675,22.748868449853877
2020-04-02,10.0,20.0,1278,12,1.0,powiat bocheński,49.9604079,20.431657842691287
2020-04-02,2.0,8.0,1,2,1.0,powiat bolesławiecki,51.32167095,15.521029999912347
2020-04-02,0.0,4.0,3300,28,2.0,powiat braniewski,54.277762,19.955522341865755
2020-04-02,0.0,9.0,328,4,2.0,powiat brodnicki,53.2696512,19.4129035023938
2020-04-02,2.0,17.0,1290,12,2.0,powiat brzeski,49.98132365,20.659036923891136
2020-04-02,2.0,17.0,2066,16,1.0,powiat brzeski,49.98132365,20.659036923891136
2020-04-02,0.0,1.0,3094,26,1.0,powiat buski,50.45583065,20.79898875332932
2020-04-02,0.0,6.0,2846,24,1.0,powiat będziński,50.41535190000001,19.113039906701342
2020-04-02,3.0,3.0,356,4,4.0,powiat chełmiński,53.3007873,18.533685101167762
2020-04-02,0.0,4.0,597,6,3.0,powiat chełmski,51.1218841,23.255660107673716
2020-04-02,0.0,1.0,3495,30,1.0,powiat chodzieski,52.9526027,16.969066424895047
2020-04-02,0.0,0.0,2677,22,2.0,powiat chojnicki,53.80103495,17.727765276589263
2020-04-02,0.0,0.0,3959,32,2.0,powiat choszczeński,53.14329875,15.650420069936265
2020-04-02,0.0,1.0,1302,12,3.0,powiat chrzanowski,50.12058425,19.40815850268288
2020-04-02,0.0,1.0,1594,14,2.0,powiat ciechanowski,52.90218205,20.627615514357508
2020-04-02,0.0,33.0,2872,24,3.0,powiat cieszyński,49.7261277,18.810229967001
2020-04-02,1.0,14.0,3505,30,2.0,powiat czarnkowsko-trzcianecki,52.92876845,16.372969704522475
2020-04-02,0.0,0.0,3312,28,3.0,powiat działdowski,53.28925805,19.98067490583261
2020-04-02,0.0,1.0,10,2,2.0,powiat dzierżoniowski,50.73498745,16.705529254552864
2020-04-02,0.0,4.0,1316,12,4.0,powiat dąbrowski,50.23088085000001,20.94621028576996
2020-04-02,0.0,2.0,2231,18,3.0,powiat dębicki,49.9993844,21.311198548609386
2020-04-02,0.0,2.0,3321,28,4.0,powiat elbląski,54.159265100000006,19.638304593203088
2020-04-02,2.0,5.0,1606,14,3.0,powiat garwoliński,51.82668320000001,21.65286960749598
2020-04-02,0.0,1.0,3343,28,6.0,powiat giżycki,54.01819955,21.85342119561347
2020-04-02,0.0,5.0,2910,24,5.0,powiat gliwicki,50.3626831,18.48550244150235
2020-04-02,0.0,1.0,3520,30,3.0,powiat gnieźnieński,52.55358914999999,17.58683037724417
2020-04-02,0.0,0.0,3988,32,4.0,powiat goleniowski,53.61047765,14.897513236938082
2020-04-02,0.0,3.0,1328,12,5.0,powiat gorlicki,49.59160285,21.16659840672487
2020-04-02,0.0,0.0,1625,14,4.0,powiat gostyniński,52.3898899,19.482333656496362
2020-04-02,2.0,3.0,3539,30,4.0,powiat gostyński,51.83777195,17.09558998626292
2020-04-02,0.0,0.0,2525,20,4.0,powiat grajewski,53.55505825,22.418891344244
2020-04-02,1.0,11.0,1633,14,5.0,powiat grodziski,52.06340865,20.600240305298207
2020-04-02,1.0,11.0,3557,30,5.0,powiat grodziski,52.06340865,20.600240305298207
2020-04-02,0.0,4.0,4003,32,5.0,powiat gryficki,53.94314005,15.259880486631474
2020-04-02,0.0,2.0,4016,32,6.0,powiat gryfiński,53.02288585,14.506296155841653
2020-04-02,0.0,27.0,1642,14,6.0,powiat grójecki,51.7583157,20.87028700012227
2020-04-02,1.0,5.0,29,2,4.0,powiat górowski,51.6367477,16.55626942251398
2020-04-02,0.0,1.0,22,2,3.0,powiat głogowski,51.67127245,16.089272919269234
2020-04-02,0.0,2.0,2077,16,2.0,powiat głubczycki,50.14863035000001,17.832521806568547
2020-04-02,0.0,0.0,2536,20,5.0,powiat hajnowski,52.7079967,23.66047994717082
2020-04-02,0.0,5.0,617,6,4.0,powiat hrubieszowski,50.7077705,23.848822265086174
2020-04-02,0.0,0.0,384,4,7.0,powiat inowrocławski,52.76472405,18.324385766354762
2020-04-02,0.0,1.0,3352,28,7.0,powiat iławski,53.67479095,19.4915030031177
2020-04-02,0.0,1.0,626,6,5.0,powiat janowski,50.7457627,22.4235140878458
2020-04-02,0.0,2.0,3569,30,6.0,powiat jarociński,52.0098897,17.513358636115164
2020-04-02,0.0,5.0,2243,18,4.0,powiat jarosławski,50.02478535,22.79940147774937
2020-04-02,0.0,3.0,2257,18,5.0,powiat jasielski,49.6427046,21.46570808223446
2020-04-02,0.0,0.0,4038,32,7.0,powiat kamieński,53.911344299999996,14.71110950200368
2020-04-02,1.0,3.0,2708,22,5.0,powiat kartuski,54.32683225,18.108863258211226
2020-04-02,0.0,0.0,2095,16,4.0,powiat kluczborski,50.9861363,18.145497495943406
2020-04-02,0.0,0.0,2548,20,6.0,powiat kolneński,53.39223585,21.958757249139236
2020-04-02,0.0,0.0,3177,26,5.0,powiat konecki,51.15156325,20.346038562526697
2020-04-02,0.0,1.0,1661,14,7.0,powiat kozienicki,51.6397453,21.401531694299923
2020-04-02,0.0,5.0,4055,32,8.0,powiat kołobrzeski,54.049678899999996,15.599773536245072
2020-04-02,0.0,3.0,3649,30,11.0,powiat kościański,52.06606645,16.66913878248318
2020-04-02,0.0,0.0,2721,22,6.0,powiat kościerski,54.01933875,17.97111554503593
2020-04-02,0.0,1.0,2106,16,5.0,powiat krapkowicki,50.45362035,17.955096651638147
2020-04-02,0.0,1.0,638,6,6.0,powiat krasnostawski,50.96342465,23.09958066661216
2020-04-02,15.0,31.0,3661,30,12.0,powiat krotoszyński,51.74117665,17.431656750422935
2020-04-02,0.0,2.0,1026,10,2.0,powiat kutnowski,52.25145895,19.426967091001327
2020-04-02,0.0,1.0,2730,22,7.0,powiat kwidzyński,53.746957050000006,19.076837234833775
2020-04-02,3.0,43.0,2088,16,3.0,powiat kędzierzyńsko-kozielski,50.29412965,18.16097077775825
2020-04-02,0.0,2.0,3596,30,8.0,powiat kępiński,51.2486103,17.956686629320636
2020-04-02,0.0,1.0,3366,28,8.0,powiat kętrzyński,54.13619250000001,21.28938022588305
2020-04-02,0.0,2.0,2923,24,6.0,powiat kłobucki,50.93282015,18.865659348024746
2020-04-02,1.0,3.0,64,2,8.0,powiat kłodzki,50.3886553,16.588626186223713
2020-04-02,4.0,17.0,1671,14,8.0,powiat legionowski,52.45180335,20.937376769356643
2020-04-02,0.0,1.0,2455,18,21.0,powiat leski,49.31976165,22.355216461013466
2020-04-02,1.0,16.0,2298,18,8.0,powiat leżajski,50.2613726,22.413978512222148
2020-04-02,1.0,6.0,1371,12,7.0,powiat limanowski,49.6825837,20.29599595036101
2020-04-02,0.0,1.0,1679,14,9.0,powiat lipski,51.158984600000004,21.5601242806257
2020-04-02,0.0,2.0,2306,18,9.0,powiat lubaczowski,50.19563805,23.145409690234903
2020-04-02,0.0,0.0,664,6,8.0,powiat lubartowski,51.53516725,22.51653812440461
2020-04-02,1.0,6.0,102,2,10.0,powiat lubański,51.045054799999996,15.27590168150317
2020-04-02,0.0,1.0,682,6,9.0,powiat lubelski,51.1341517,22.438471588763637
2020-04-02,0.0,5.0,114,2,11.0,powiat lubiński,51.4415205,16.257540127826694
2020-04-02,0.0,9.0,2937,24,7.0,powiat lubliniecki,50.67380945,18.746462663103387
2020-04-02,0.0,0.0,121,2,12.0,powiat lwówecki,51.0155289,15.559027133100908
2020-04-02,0.0,0.0,1384,12,8.0,powiat miechowski,50.38970265,20.077787968024964
2020-04-02,0.0,12.0,2329,18,11.0,powiat mielecki,50.31408045,21.397504902440524
2020-04-02,0.0,1.0,2948,24,8.0,powiat mikołowski,50.15111709999999,18.830731370265177
2020-04-02,0.0,0.0,137,2,13.0,powiat milicki,51.5080881,17.296877499268668
2020-04-02,2.0,5.0,1710,14,12.0,powiat miński,52.18406335,21.65434349742045
2020-04-02,0.0,2.0,416,4,9.0,powiat mogileński,52.66174655,18.02283400345263
2020-04-02,0.0,0.0,2571,20,8.0,powiat moniecki,53.44574605,22.81705317919272
2020-04-02,0.0,3.0,2954,24,9.0,powiat myszkowski,50.6055959,19.294801380090284
2020-04-02,0.0,8.0,1394,12,9.0,powiat myślenicki,49.77508335,19.97600902574422
2020-04-02,0.0,1.0,1730,14,13.0,powiat mławski,53.0549485,20.32222017508893
2020-04-02,0.0,2.0,425,4,10.0,powiat nakielski,53.09484255,17.597400406628683
2020-04-02,0.0,0.0,3393,28,11.0,powiat nidzicki,53.37347615,20.488307492238103
2020-04-02,0.0,7.0,2344,18,12.0,powiat niżański,50.4641343,22.26883925179853
2020-04-02,0.0,4.0,1741,14,14.0,powiat nowodworski,52.465739600000006,20.66747805210729
2020-04-02,0.0,4.0,2754,22,10.0,powiat nowodworski,52.465739600000006,20.66747805210729
2020-04-02,6.0,23.0,3400,28,12.0,powiat nowomiejski,53.43573635,19.549278770395482
2020-04-02,0.0,4.0,883,8,4.0,powiat nowosolski,51.842350599999996,15.703413769635189
2020-04-02,0.0,0.0,1435,12,11.0,powiat nowotarski,49.4938988,19.9991674049907
2020-04-02,0.0,1.0,3697,30,15.0,powiat nowotomyski,52.34868035,16.178316700935312
2020-04-02,1.0,4.0,2126,16,7.0,powiat nyski,50.4604114,17.30419272895757
2020-04-02,0.0,2.0,3712,30,16.0,powiat obornicki,52.7164105,16.846005129395348
2020-04-02,0.0,2.0,3406,28,13.0,powiat olecki,54.05127005,22.40859883017808
2020-04-02,0.0,3.0,2146,16,8.0,powiat oleski,50.8785969,18.483116090098807
2020-04-02,1.0,6.0,143,2,14.0,powiat oleśnicki,51.254798799999996,17.500454512457832
