,WOJ,POW,NAZWA,lat,long
1135,10,11.0,powiat poddębicki,51.898392099999995,18.963900374241888
1146,10,12.0,powiat radomszczański,51.064836549999995,19.631152903045617
1165,10,13.0,powiat rawski,51.7621565,20.37659114942804
1174,10,14.0,powiat sieradzki,51.6037195,18.612827031251342
1192,10,15.0,powiat skierniewicki,51.94468755,20.009552327706285
1202,10,16.0,powiat tomaszowski,50.47822645,23.579682194411255
1214,10,17.0,powiat wieluński,51.2326953,18.58180131751806
1227,10,18.0,powiat wieruszowski,51.29446215,18.256858317083342
1239,10,19.0,powiat zduńskowolski,51.6196977,18.94860313873678
1246,10,20.0,powiat zgierski,51.9038913,19.43926200949343
1260,10,21.0,powiat brzeziński,51.840599600000004,19.819071545124046
1266,10,61.0,Łódź,51.7687323,19.4569911
1273,10,62.0,Piotrków Trybunalski,51.412841400000005,19.688801329018943
1275,10,63.0,Skierniewice,51.95805445,20.144870111023707
1278,12,1.0,powiat bocheński,49.9604079,20.431657842691287
1290,12,2.0,powiat brzeski,49.98132365,20.659036923891136
1302,12,3.0,powiat chrzanowski,50.12058425,19.40815850268288
1316,12,4.0,powiat dąbrowski,50.230880850000005,20.94621028576996
1328,12,5.0,powiat gorlicki,49.59160285,21.16659840672487
1343,12,6.0,powiat krakowski,50.099922250000006,19.707756775328058
1371,12,7.0,powiat limanowski,49.682583699999995,20.29599595036101
1384,12,8.0,powiat miechowski,50.389702650000004,20.077787968024964
1394,12,9.0,powiat myślenicki,49.77508335,19.97600902574422
1410,12,10.0,powiat nowosądecki,49.55131165,20.69648043382353
1435,12,11.0,powiat nowotarski,49.4938988,19.9991674049907
1454,12,12.0,powiat olkuski,50.31935215,19.649159723051554
1465,12,13.0,powiat oświęcimski,49.992336300000005,19.29720956624182
1483,12,14.0,powiat proszowicki,50.216980649999996,20.26650110308468
1496,12,15.0,powiat suski,49.7016195,19.64833292705664
1508,12,16.0,powiat tarnowski,49.9855249,20.95763472040755
1539,12,17.0,powiat tatrzański,49.3035301,19.964453474081942
1545,12,18.0,powiat wadowicki,49.8942885,19.53470693406704
1562,12,19.0,powiat wielicki,49.98181865,20.17284806223359
1572,12,61.0,Kraków,50.0469432,19.997153435836697
1578,12,62.0,Nowy Sącz,49.61030395,20.71595521113809
1580,12,63.0,Tarnów,50.025988299999995,20.96405842696229
1583,14,1.0,powiat białobrzeski,51.6208095,20.967559332129618
1594,14,2.0,powiat ciechanowski,52.90218205,20.627615514357508
1606,14,3.0,powiat garwoliński,51.826683200000005,21.65286960749598
1625,14,4.0,powiat gostyniński,52.3898899,19.482333656496365
1633,14,5.0,powiat grodziski,52.06340865,20.600240305298207
1642,14,6.0,powiat grójecki,51.7583157,20.870287000122275
1661,14,7.0,powiat kozienicki,51.6397453,21.40153169429992
1671,14,8.0,powiat legionowski,52.45180335,20.93737676935664
1679,14,9.0,powiat lipski,51.1589846,21.5601242806257
1688,14,10.0,powiat łosicki,52.22376975,22.83752980509017
1697,14,11.0,powiat makowski,52.94723140000001,21.25273347379993
1710,14,12.0,powiat miński,52.18406335,21.65434349742045
1730,14,13.0,powiat mławski,53.054948499999995,20.32222017508893
1741,14,14.0,powiat nowodworski,52.4657396,20.667478052107292
1752,14,15.0,powiat ostrołęcki,53.140012,21.452380529038315
1766,14,16.0,powiat ostrowski,52.795039349999996,21.988753353928487
1780,14,17.0,powiat otwocki,52.0471165,21.398420028820127
1791,14,18.0,powiat piaseczyński,52.016146250000006,21.014270011309566
1806,14,19.0,powiat płocki,52.55471805,19.96601456695695
1828,14,20.0,powiat płoński,52.63871815,20.432375744191376
1843,14,21.0,powiat pruszkowski,52.1010833,20.840943502965125
1852,14,22.0,powiat przasnyski,53.113583500000004,20.912871752413075
1862,14,23.0,powiat przysuski,51.42374065,20.630001909255945
1873,14,24.0,powiat pułtuski,52.67182355,20.991724315967723
1883,14,25.0,powiat radomski,51.335789500000004,21.192169767822076
1901,14,26.0,powiat siedlecki,52.191811099999995,22.453206016744403
1917,14,27.0,powiat sierpecki,52.8335996,19.691943695110538
1925,14,28.0,powiat sochaczewski,52.2666699,20.153679394942078
1934,14,29.0,powiat sokołowski,52.495177549999994,22.320681262753425
1946,14,30.0,powiat szydłowiecki,51.256042699999995,20.84392539860568
1954,14,32.0,powiat warszawski zachodni,52.2684013,20.608405648472143
1968,14,33.0,powiat węgrowski,52.45638685,21.946417084473428
1980,14,34.0,powiat wołomiński,52.4061646,21.416125523605736
1999,14,35.0,powiat wyszkowski,52.65072615,21.510688753842743
2008,14,36.0,powiat zwoleński,51.360723199999995,21.6422549482352
2016,14,37.0,powiat żuromiński,53.01636895,19.878079023669844
2029,14,38.0,powiat żyrardowski,51.9997668,20.436349321994456
2037,14,61.0,Ostrołęka,53.07803115,21.574868231939817
2039,14,62.0,Płock,52.535347099999996,19.713630180599928
2041,14,63.0,Radom,51.417157599999996,21.160945939663797
2043,14,64.0,Siedlce,52.161593800000006,22.281253302988254
2045,14,65.0,Warszawa,52.2337172,21.07141112883227
2066,16,1.0,powiat brzeski,49.98132365,20.659036923891136
2077,16,2.0,powiat głubczycki,50.148630350000005,17.832521806568543
2088,16,3.0,powiat kędzierzyńsko-kozielski,50.29412965,18.16097077775825
2095,16,4.0,powiat kluczborski,50.9861363,18.145497495943403
2106,16,5.0,powiat krapkowicki,50.45362035,17.95509665163815
2118,16,6.0,powiat namysłowski,51.01601205,17.722372024223294
2126,16,7.0,powiat nyski,50.4604114,17.30419272895757
2146,16,8.0,powiat oleski,50.8785969,18.483116090098807
2162,16,9.0,powiat opolski,51.12901085,22.000946373944686
2184,16,10.0,powiat prudnicki,50.409801200000004,17.663464613086518
2195,16,11.0,powiat strzelecki,50.5294977,18.269227416432535
2213,16,61.0,Opole,50.678792900000005,17.929884436033525
2216,18,1.0,powiat bieszczadzki,49.3363688,22.630448120259274
2222,18,2.0,powiat brzozowski,49.72756675,22.094324565972048
2231,18,3.0,powiat dębicki,49.9993844,21.311198548609383
2243,18,4.0,powiat jarosławski,50.02478535,22.79940147774937
2257,18,5.0,powiat jasielski,49.6427046,21.46570808223446
2270,18,6.0,powiat kolbuszowski,50.316514850000004,21.77167198956166
2279,18,7.0,powiat krośnieński,49.5946937,21.763086440711344
2298,18,8.0,powiat leżajski,50.2613726,22.41397851222215
2306,18,9.0,powiat lubaczowski,50.19563805,23.145409690234906
2321,18,10.0,powiat łańcucki,50.08654905,22.27464232463597
2329,18,11.0,powiat mielecki,50.31408045,21.397504902440524
2344,18,12.0,powiat niżański,50.4641343,22.268839251798532
2358,18,13.0,powiat przemyski,49.7613471,22.522247259959258
2369,18,14.0,powiat przeworski,50.08916055,22.486851209405792
2383,18,15.0,powiat ropczycko-sędziszowski,50.048468400000004,21.650697944340557
2393,18,16.0,powiat rzeszowski,50.057539500000004,21.860817044244953
2418,18,17.0,powiat sanocki,49.42978315,22.101303967055973
2429,18,18.0,powiat stalowowolski,50.5910262,22.091776064512587
2438,18,19.0,powiat strzyżowski,49.876524599999996,21.71591217101612
2446,18,20.0,powiat tarnobrzeski,50.562696349999996,21.8603343832929
2455,18,21.0,powiat leski,49.31976165,22.355216461013466
2463,18,61.0,Krosno,49.68875655,21.753404714509344
2465,18,62.0,Przemyśl,49.78355525,22.78851130307014
2467,18,63.0,Rzeszów,50.00715125,22.009911525182105
2469,18,64.0,Tarnobrzeg,50.58372,21.711638132824728
2472,20,1.0,powiat augustowski,53.7973442,23.134066497228158
2482,20,2.0,powiat białostocki,53.1173294,23.55657555205476
2516,20,3.0,powiat bielski,52.746104599999995,23.004387105038838
2525,20,4.0,powiat grajewski,53.55505825,22.418891344244
2536,20,5.0,powiat hajnowski,52.707996699999995,23.66047994717082
2548,20,6.0,powiat kolneński,53.39223585,21.95875724913924
2557,20,7.0,powiat łomżyński,53.208329649999996,22.277563186952378
2571,20,8.0,powiat moniecki,53.44574605,22.81705317919272
2585,20,9.0,powiat sejneński,54.095432349999996,23.312612529226524
2591,20,10.0,powiat siemiatycki,52.488889,22.884543556408765
2603,20,11.0,powiat sokólski,53.4351319,23.38573426914678
2622,20,12.0,powiat suwalski,54.16710905,22.813767554467645
2632,20,13.0,powiat wysokomazowiecki,52.86512825,22.520859058793572
2649,20,14.0,powiat zambrowski,53.022658899999996,22.24796561974756
2655,20,61.0,Białystok,53.127505049999996,23.147050870161664
2657,20,62.0,Łomża,53.18243065,22.052183817808846
2659,20,63.0,Suwałki,54.102712499999996,22.931878217494493
2662,22,1.0,powiat bytowski,54.157823,17.378554931293472
2677,22,2.0,powiat chojnicki,53.80103495,17.72776527658926
2687,22,3.0,powiat człuchowski,53.75113985,17.166937829101094
2699,22,4.0,powiat gdański,54.2244977,18.590939257974895
2708,22,5.0,powiat kartuski,54.326832249999995,18.108863258211223
2721,22,6.0,powiat kościerski,54.01933875,17.97111554503593
2730,22,7.0,powiat kwidzyński,53.746957050000006,19.076837234833775
2739,22,8.0,powiat lęborski,54.5692193,17.689716514502738
2745,22,9.0,powiat malborski,54.063488199999995,19.028032480626536
2754,22,10.0,powiat nowodworski,52.4657396,20.667478052107292
2762,22,11.0,powiat pucki,54.69701275,18.326138650721894
2774,22,12.0,powiat słupski,54.422659249999995,17.166014782316978
2787,22,13.0,powiat starogardzki,53.8990805,18.371607124248555
2805,22,14.0,powiat tczewski,53.918865049999994,18.747123157425225
2816,22,15.0,powiat wejherowski,54.61736835,18.101614685500984
2827,22,16.0,powiat sztumski,53.90127975,19.261057315076915
2837,22,61.0,Gdańsk,54.36143405,18.62821847557274
2839,22,62.0,Gdynia,54.50383255,18.462806155884614
2841,22,63.0,Słupsk,54.460570849999996,17.027730037017736
2843,22,64.0,Sopot,54.44190905,18.54309444570447
2846,24,1.0,powiat będziński,50.415351900000005,19.113039906701346
2857,24,2.0,powiat bielski,52.746104599999995,23.004387105038838
2872,24,3.0,powiat cieszyński,49.7261277,18.810229967000996
2889,24,4.0,powiat częstochowski,50.84120615,19.505259441660606
2910,24,5.0,powiat gliwicki,50.3626831,18.48550244150235
2923,24,6.0,powiat kłobucki,50.93282015,18.865659348024742
2937,24,7.0,powiat lubliniecki,50.67380945,18.746462663103387
2948,24,8.0,powiat mikołowski,50.15111709999999,18.830731370265177
2954,24,9.0,powiat myszkowski,50.6055959,19.294801380090284
2964,24,10.0,powiat pszczyński,49.9896959,18.89123417525984
2973,24,11.0,powiat raciborski,50.08696745,18.20007980353008
2986,24,12.0,powiat rybnicki,50.1133845,18.389844303881837
2994,24,13.0,powiat tarnogórski,50.472343499999994,18.879310592903682
3004,24,14.0,powiat bieruńsko-lędziński,50.093479,19.14103714727102
3010,24,15.0,powiat wodzisławski,49.993407149999996,18.44388013947817
3020,24,16.0,powiat zawierciański,50.5442701,19.619601717431657
3039,24,17.0,powiat żywiecki,49.61135165,19.227576961216535
3055,24,61.0,Bielsko-Biała,49.81207845,19.029198802013944
3057,24,62.0,Bytom,50.3657432,18.87153251609449
3059,24,63.0,Chorzów,50.288556299999996,18.97044253093511
