Timestamp,Province,new,total
2020-03-08,DOLNOŚLĄSKIE,1.0,2.0
2020-03-08,KUJAWSKO-POMORSKIE,0.0,0.0
2020-03-08,LUBELSKIE,0.0,0.0
2020-03-08,LUBUSKIE,0.0,1.0
2020-03-08,MAZOWIECKIE,2.0,2.0
2020-03-08,MAŁOPOLSKIE,1.0,1.0
2020-03-08,OPOLSKIE,0.0,0.0
2020-03-08,PODKARPACKIE,0.0,0.0
2020-03-08,PODLASKIE,0.0,0.0
2020-03-08,POMORSKIE,0.0,0.0
2020-03-08,WARMIŃSKO-MAZURSKIE,0.0,2.0
2020-03-08,WIELKOPOLSKIE,0.0,0.0
2020-03-08,ZACHODNIOPOMORSKIE,0.0,2.0
2020-03-08,ŁÓDZKIE,0.0,0.0
2020-03-08,ŚLĄSKIE,2.0,2.0
2020-03-08,ŚWIĘTOKRZYSKIE,0.0,0.0
