,Province,new,total,WOJ,lat,long
0,DOLNOŚLĄSKIE,28.0,28.0,2,51.1078852,17.0385376
1,KUJAWSKO-POMORSKIE,2.0,30.0,4,53.01375,18.59814
2,LUBELSKIE,4.0,34.0,6,51.246452,22.568445
3,LUBUSKIE,1.0,35.0,8,51.935619,15.506186
4,MAZOWIECKIE,27.0,62.0,14,52.232222,21.008333
5,MAŁOPOLSKIE,24.0,86.0,12,50.061389,19.938333
6,OPOLSKIE,2.0,88.0,16,50.664722,17.926944
7,PODKARPACKIE,8.0,96.0,18,50.033611,22.004722
8,PODLASKIE,4.0,100.0,20,53.135278,23.145556
9,POMORSKIE,4.0,104.0,22,54.366667,18.633333
10,WARMIŃSKO-MAZURSKIE,5.0,109.0,28,53.773056,20.476111
11,WIELKOPOLSKIE,21.0,130.0,30,52.408333,16.934167
12,ZACHODNIOPOMORSKIE,8.0,138.0,32,53.438056,14.542222
13,ŁÓDZKIE,10.0,148.0,10,51.776667,19.454722
14,ŚLĄSKIE,14.0,162.0,24,50.264167,19.023611
15,ŚWIĘTOKRZYSKIE,7.0,169.0,26,50.874167,20.633333
