Timestamp,Province,new,total
2020-03-14,DOLNOŚLĄSKIE,5.0,14.0
2020-03-14,KUJAWSKO-POMORSKIE,0.0,0.0
2020-03-14,LUBELSKIE,9.0,16.0
2020-03-14,LUBUSKIE,0.0,1.0
2020-03-14,MAZOWIECKIE,5.0,16.0
2020-03-14,MAŁOPOLSKIE,0.0,1.0
2020-03-14,OPOLSKIE,2.0,4.0
2020-03-14,PODKARPACKIE,1.0,7.0
2020-03-14,PODLASKIE,0.0,0.0
2020-03-14,POMORSKIE,2.0,2.0
2020-03-14,WARMIŃSKO-MAZURSKIE,0.0,4.0
2020-03-14,WIELKOPOLSKIE,1.0,8.0
2020-03-14,ZACHODNIOPOMORSKIE,0.0,5.0
2020-03-14,ŁÓDZKIE,10.0,15.0
2020-03-14,ŚLĄSKIE,0.0,12.0
2020-03-14,ŚWIĘTOKRZYSKIE,1.0,1.0
