Timestamp,Province,new,total
2020-03-17,DOLNOŚLĄSKIE,12.0,40.0
2020-03-17,KUJAWSKO-POMORSKIE,8.0,8.0
2020-03-17,LUBELSKIE,4.0,23.0
2020-03-17,LUBUSKIE,1.0,3.0
2020-03-17,MAZOWIECKIE,3.0,38.0
2020-03-17,MAŁOPOLSKIE,3.0,5.0
2020-03-17,OPOLSKIE,3.0,9.0
2020-03-17,PODKARPACKIE,0.0,12.0
2020-03-17,PODLASKIE,1.0,1.0
2020-03-17,POMORSKIE,6.0,8.0
2020-03-17,WARMIŃSKO-MAZURSKIE,2.0,7.0
2020-03-17,WIELKOPOLSKIE,2.0,14.0
2020-03-17,ZACHODNIOPOMORSKIE,2.0,8.0
2020-03-17,ŁÓDZKIE,11.0,42.0
2020-03-17,ŚLĄSKIE,5.0,23.0
2020-03-17,ŚWIĘTOKRZYSKIE,0.0,2.0
