Timestamp,Province,new,total
2020-03-29,DOLNOŚLĄSKIE,20.0,239.0
2020-03-29,KUJAWSKO-POMORSKIE,10.0,47.0
2020-03-29,LUBELSKIE,23.0,121.0
2020-03-29,LUBUSKIE,0.0,34.0
2020-03-29,MAZOWIECKIE,40.0,466.0
2020-03-29,MAŁOPOLSKIE,39.0,151.0
2020-03-29,OPOLSKIE,12.0,47.0
2020-03-29,PODKARPACKIE,5.0,79.0
2020-03-29,PODLASKIE,2.0,28.0
2020-03-29,POMORSKIE,9.0,45.0
2020-03-29,WARMIŃSKO-MAZURSKIE,10.0,57.0
2020-03-29,WIELKOPOLSKIE,9.0,111.0
2020-03-29,ZACHODNIOPOMORSKIE,6.0,59.0
2020-03-29,ŁÓDZKIE,8.0,201.0
2020-03-29,ŚLĄSKIE,33.0,203.0
2020-03-29,ŚWIĘTOKRZYSKIE,7.0,34.0
