Timestamp,Province,new,total
2020-03-05,DOLNOŚLĄSKIE,0.0,0.0
2020-03-05,KUJAWSKO-POMORSKIE,0.0,0.0
2020-03-05,LUBELSKIE,0.0,0.0
2020-03-05,LUBUSKIE,0.0,1.0
2020-03-05,MAZOWIECKIE,0.0,0.0
2020-03-05,MAŁOPOLSKIE,0.0,0.0
2020-03-05,OPOLSKIE,0.0,0.0
2020-03-05,PODKARPACKIE,0.0,0.0
2020-03-05,PODLASKIE,0.0,0.0
2020-03-05,POMORSKIE,0.0,0.0
2020-03-05,WARMIŃSKO-MAZURSKIE,0.0,0.0
2020-03-05,WIELKOPOLSKIE,0.0,0.0
2020-03-05,ZACHODNIOPOMORSKIE,0.0,0.0
2020-03-05,ŁÓDZKIE,0.0,0.0
2020-03-05,ŚLĄSKIE,0.0,0.0
2020-03-05,ŚWIĘTOKRZYSKIE,0.0,0.0
