Timestamp,Province,new,total
2020-03-12,DOLNOŚLĄSKIE,3.0,7.0
2020-03-12,KUJAWSKO-POMORSKIE,0.0,0.0
2020-03-12,LUBELSKIE,4.0,6.0
2020-03-12,LUBUSKIE,0.0,1.0
2020-03-12,MAZOWIECKIE,2.0,6.0
2020-03-12,MAŁOPOLSKIE,0.0,1.0
2020-03-12,OPOLSKIE,1.0,2.0
2020-03-12,PODKARPACKIE,2.0,3.0
2020-03-12,PODLASKIE,0.0,0.0
2020-03-12,POMORSKIE,0.0,0.0
2020-03-12,WARMIŃSKO-MAZURSKIE,1.0,4.0
2020-03-12,WIELKOPOLSKIE,4.0,6.0
2020-03-12,ZACHODNIOPOMORSKIE,2.0,4.0
2020-03-12,ŁÓDZKIE,1.0,2.0
2020-03-12,ŚLĄSKIE,3.0,11.0
2020-03-12,ŚWIĘTOKRZYSKIE,0.0,0.0
