Timestamp,Province,new,total
2020-03-13,DOLNOŚLĄSKIE,2.0,9.0
2020-03-13,KUJAWSKO-POMORSKIE,0.0,0.0
2020-03-13,LUBELSKIE,1.0,7.0
2020-03-13,LUBUSKIE,0.0,1.0
2020-03-13,MAZOWIECKIE,5.0,11.0
2020-03-13,MAŁOPOLSKIE,0.0,1.0
2020-03-13,OPOLSKIE,0.0,2.0
2020-03-13,PODKARPACKIE,3.0,6.0
2020-03-13,PODLASKIE,0.0,0.0
2020-03-13,POMORSKIE,0.0,0.0
2020-03-13,WARMIŃSKO-MAZURSKIE,0.0,4.0
2020-03-13,WIELKOPOLSKIE,1.0,7.0
2020-03-13,ZACHODNIOPOMORSKIE,1.0,5.0
2020-03-13,ŁÓDZKIE,3.0,5.0
2020-03-13,ŚLĄSKIE,1.0,12.0
2020-03-13,ŚWIĘTOKRZYSKIE,0.0,0.0
