Timestamp,Province,new,total
2020-03-10,DOLNOŚLĄSKIE,0.0,3.0
2020-03-10,KUJAWSKO-POMORSKIE,0.0,0.0
2020-03-10,LUBELSKIE,1.0,1.0
2020-03-10,LUBUSKIE,0.0,1.0
2020-03-10,MAZOWIECKIE,1.0,3.0
2020-03-10,MAŁOPOLSKIE,0.0,1.0
2020-03-10,OPOLSKIE,0.0,0.0
2020-03-10,PODKARPACKIE,0.0,0.0
2020-03-10,PODLASKIE,0.0,0.0
2020-03-10,POMORSKIE,0.0,0.0
2020-03-10,WARMIŃSKO-MAZURSKIE,0.0,2.0
2020-03-10,WIELKOPOLSKIE,0.0,1.0
2020-03-10,ZACHODNIOPOMORSKIE,0.0,2.0
2020-03-10,ŁÓDZKIE,0.0,0.0
2020-03-10,ŚLĄSKIE,2.0,7.0
2020-03-10,ŚWIĘTOKRZYSKIE,0.0,0.0
