Timestamp,Province,new,total
2020-03-22,DOLNOŚLĄSKIE,13.0,81.0
2020-03-22,KUJAWSKO-POMORSKIE,0.0,18.0
2020-03-22,LUBELSKIE,8.0,40.0
2020-03-22,LUBUSKIE,2.0,12.0
2020-03-22,MAZOWIECKIE,21.0,148.0
2020-03-22,MAŁOPOLSKIE,8.0,24.0
2020-03-22,OPOLSKIE,7.0,18.0
2020-03-22,PODKARPACKIE,4.0,30.0
2020-03-22,PODLASKIE,1.0,6.0
2020-03-22,POMORSKIE,3.0,17.0
2020-03-22,WARMIŃSKO-MAZURSKIE,2.0,22.0
2020-03-22,WIELKOPOLSKIE,7.0,39.0
2020-03-22,ZACHODNIOPOMORSKIE,2.0,12.0
2020-03-22,ŁÓDZKIE,15.0,106.0
2020-03-22,ŚLĄSKIE,10.0,65.0
2020-03-22,ŚWIĘTOKRZYSKIE,0.0,6.0
