Timestamp,Province,new,total
2020-03-06,DOLNOŚLĄSKIE,1.0,1.0
2020-03-06,KUJAWSKO-POMORSKIE,0.0,0.0
2020-03-06,LUBELSKIE,0.0,0.0
2020-03-06,LUBUSKIE,0.0,1.0
2020-03-06,MAZOWIECKIE,0.0,0.0
2020-03-06,MAŁOPOLSKIE,0.0,0.0
2020-03-06,OPOLSKIE,0.0,0.0
2020-03-06,PODKARPACKIE,0.0,0.0
2020-03-06,PODLASKIE,0.0,0.0
2020-03-06,POMORSKIE,0.0,0.0
2020-03-06,WARMIŃSKO-MAZURSKIE,1.0,1.0
2020-03-06,WIELKOPOLSKIE,0.0,0.0
2020-03-06,ZACHODNIOPOMORSKIE,2.0,2.0
2020-03-06,ŁÓDZKIE,0.0,0.0
2020-03-06,ŚLĄSKIE,0.0,0.0
2020-03-06,ŚWIĘTOKRZYSKIE,0.0,0.0
