Timestamp,Province,new,total
2020-03-07,DOLNOŚLĄSKIE,0.0,1.0
2020-03-07,KUJAWSKO-POMORSKIE,0.0,0.0
2020-03-07,LUBELSKIE,0.0,0.0
2020-03-07,LUBUSKIE,0.0,1.0
2020-03-07,MAZOWIECKIE,0.0,0.0
2020-03-07,MAŁOPOLSKIE,0.0,0.0
2020-03-07,OPOLSKIE,0.0,0.0
2020-03-07,PODKARPACKIE,0.0,0.0
2020-03-07,PODLASKIE,0.0,0.0
2020-03-07,POMORSKIE,0.0,0.0
2020-03-07,WARMIŃSKO-MAZURSKIE,1.0,2.0
2020-03-07,WIELKOPOLSKIE,0.0,0.0
2020-03-07,ZACHODNIOPOMORSKIE,0.0,2.0
2020-03-07,ŁÓDZKIE,0.0,0.0
2020-03-07,ŚLĄSKIE,0.0,0.0
2020-03-07,ŚWIĘTOKRZYSKIE,0.0,0.0
