Timestamp,Province,new,total
2020-03-15,DOLNOŚLĄSKIE,2.0,16.0
2020-03-15,KUJAWSKO-POMORSKIE,0.0,0.0
2020-03-15,LUBELSKIE,2.0,18.0
2020-03-15,LUBUSKIE,1.0,2.0
2020-03-15,MAZOWIECKIE,6.0,22.0
2020-03-15,MAŁOPOLSKIE,0.0,1.0
2020-03-15,OPOLSKIE,0.0,4.0
2020-03-15,PODKARPACKIE,1.0,8.0
2020-03-15,PODLASKIE,0.0,0.0
2020-03-15,POMORSKIE,0.0,2.0
2020-03-15,WARMIŃSKO-MAZURSKIE,1.0,5.0
2020-03-15,WIELKOPOLSKIE,0.0,8.0
2020-03-15,ZACHODNIOPOMORSKIE,1.0,6.0
2020-03-15,ŁÓDZKIE,4.0,19.0
2020-03-15,ŚLĄSKIE,2.0,14.0
2020-03-15,ŚWIĘTOKRZYSKIE,1.0,2.0
