Timestamp,Province,new,total
2020-03-09,DOLNOŚLĄSKIE,1.0,3.0
2020-03-09,KUJAWSKO-POMORSKIE,0.0,0.0
2020-03-09,LUBELSKIE,0.0,0.0
2020-03-09,LUBUSKIE,0.0,1.0
2020-03-09,MAZOWIECKIE,0.0,2.0
2020-03-09,MAŁOPOLSKIE,0.0,1.0
2020-03-09,OPOLSKIE,0.0,0.0
2020-03-09,PODKARPACKIE,0.0,0.0
2020-03-09,PODLASKIE,0.0,0.0
2020-03-09,POMORSKIE,0.0,0.0
2020-03-09,WARMIŃSKO-MAZURSKIE,0.0,2.0
2020-03-09,WIELKOPOLSKIE,1.0,1.0
2020-03-09,ZACHODNIOPOMORSKIE,0.0,2.0
2020-03-09,ŁÓDZKIE,0.0,0.0
2020-03-09,ŚLĄSKIE,3.0,5.0
2020-03-09,ŚWIĘTOKRZYSKIE,0.0,0.0
