Timestamp,Province,new,total
2020-03-19,DOLNOŚLĄSKIE,13.0,55.0
2020-03-19,KUJAWSKO-POMORSKIE,3.0,11.0
2020-03-19,LUBELSKIE,3.0,26.0
2020-03-19,LUBUSKIE,6.0,10.0
2020-03-19,MAZOWIECKIE,16.0,82.0
2020-03-19,MAŁOPOLSKIE,1.0,7.0
2020-03-19,OPOLSKIE,1.0,11.0
2020-03-19,PODKARPACKIE,3.0,18.0
2020-03-19,PODLASKIE,0.0,1.0
2020-03-19,POMORSKIE,0.0,9.0
2020-03-19,WARMIŃSKO-MAZURSKIE,1.0,12.0
2020-03-19,WIELKOPOLSKIE,2.0,16.0
2020-03-19,ZACHODNIOPOMORSKIE,1.0,9.0
2020-03-19,ŁÓDZKIE,6.0,48.0
2020-03-19,ŚLĄSKIE,12.0,41.0
2020-03-19,ŚWIĘTOKRZYSKIE,1.0,4.0
