Timestamp,Province,new,total
2020-03-28,DOLNOŚLĄSKIE,21.0,219.0
2020-03-28,KUJAWSKO-POMORSKIE,4.0,37.0
2020-03-28,LUBELSKIE,13.0,98.0
2020-03-28,LUBUSKIE,2.0,34.0
2020-03-28,MAZOWIECKIE,104.0,426.0
2020-03-28,MAŁOPOLSKIE,19.0,112.0
2020-03-28,OPOLSKIE,3.0,35.0
2020-03-28,PODKARPACKIE,10.0,74.0
2020-03-28,PODLASKIE,9.0,26.0
2020-03-28,POMORSKIE,4.0,36.0
2020-03-28,WARMIŃSKO-MAZURSKIE,2.0,47.0
2020-03-28,WIELKOPOLSKIE,9.0,102.0
2020-03-28,ZACHODNIOPOMORSKIE,11.0,53.0
2020-03-28,ŁÓDZKIE,17.0,193.0
2020-03-28,ŚLĄSKIE,24.0,170.0
2020-03-28,ŚWIĘTOKRZYSKIE,5.0,27.0
