Timestamp,Province,new,total
2020-03-11,DOLNOŚLĄSKIE,1.0,4.0
2020-03-11,KUJAWSKO-POMORSKIE,0.0,0.0
2020-03-11,LUBELSKIE,1.0,2.0
2020-03-11,LUBUSKIE,0.0,1.0
2020-03-11,MAZOWIECKIE,1.0,4.0
2020-03-11,MAŁOPOLSKIE,0.0,1.0
2020-03-11,OPOLSKIE,1.0,1.0
2020-03-11,PODKARPACKIE,1.0,1.0
2020-03-11,PODLASKIE,0.0,0.0
2020-03-11,POMORSKIE,0.0,0.0
2020-03-11,WARMIŃSKO-MAZURSKIE,1.0,3.0
2020-03-11,WIELKOPOLSKIE,1.0,2.0
2020-03-11,ZACHODNIOPOMORSKIE,0.0,2.0
2020-03-11,ŁÓDZKIE,1.0,1.0
2020-03-11,ŚLĄSKIE,1.0,8.0
2020-03-11,ŚWIĘTOKRZYSKIE,0.0,0.0
