Timestamp,Province,new,total
2020-03-26,DOLNOŚLĄSKIE,15.0,170.0
2020-03-26,KUJAWSKO-POMORSKIE,4.0,31.0
2020-03-26,LUBELSKIE,14.0,81.0
2020-03-26,LUBUSKIE,7.0,31.0
2020-03-26,MAZOWIECKIE,43.0,295.0
2020-03-26,MAŁOPOLSKIE,13.0,69.0
2020-03-26,OPOLSKIE,3.0,30.0
2020-03-26,PODKARPACKIE,12.0,56.0
2020-03-26,PODLASKIE,3.0,13.0
2020-03-26,POMORSKIE,6.0,28.0
2020-03-26,WARMIŃSKO-MAZURSKIE,7.0,40.0
2020-03-26,WIELKOPOLSKIE,12.0,72.0
2020-03-26,ZACHODNIOPOMORSKIE,3.0,34.0
2020-03-26,ŁÓDZKIE,19.0,166.0
2020-03-26,ŚLĄSKIE,21.0,132.0
2020-03-26,ŚWIĘTOKRZYSKIE,1.0,15.0
