Timestamp,Province,new,total
2020-03-18,DOLNOŚLĄSKIE,2.0,42.0
2020-03-18,KUJAWSKO-POMORSKIE,0.0,8.0
2020-03-18,LUBELSKIE,0.0,23.0
2020-03-18,LUBUSKIE,1.0,4.0
2020-03-18,MAZOWIECKIE,28.0,66.0
2020-03-18,MAŁOPOLSKIE,1.0,6.0
2020-03-18,OPOLSKIE,1.0,10.0
2020-03-18,PODKARPACKIE,3.0,15.0
2020-03-18,PODLASKIE,0.0,1.0
2020-03-18,POMORSKIE,1.0,9.0
2020-03-18,WARMIŃSKO-MAZURSKIE,4.0,11.0
2020-03-18,WIELKOPOLSKIE,0.0,14.0
2020-03-18,ZACHODNIOPOMORSKIE,0.0,8.0
2020-03-18,ŁÓDZKIE,0.0,42.0
2020-03-18,ŚLĄSKIE,6.0,29.0
2020-03-18,ŚWIĘTOKRZYSKIE,1.0,3.0
