Timestamp,Province,new,total
2020-03-23,DOLNOŚLĄSKIE,22.0,103.0
2020-03-23,KUJAWSKO-POMORSKIE,3.0,21.0
2020-03-23,LUBELSKIE,9.0,49.0
2020-03-23,LUBUSKIE,5.0,17.0
2020-03-23,MAZOWIECKIE,28.0,176.0
2020-03-23,MAŁOPOLSKIE,9.0,33.0
2020-03-23,OPOLSKIE,5.0,23.0
2020-03-23,PODKARPACKIE,1.0,31.0
2020-03-23,PODLASKIE,1.0,7.0
2020-03-23,POMORSKIE,4.0,21.0
2020-03-23,WARMIŃSKO-MAZURSKIE,3.0,25.0
2020-03-23,WIELKOPOLSKIE,4.0,43.0
2020-03-23,ZACHODNIOPOMORSKIE,4.0,16.0
2020-03-23,ŁÓDZKIE,5.0,111.0
2020-03-23,ŚLĄSKIE,12.0,77.0
2020-03-23,ŚWIĘTOKRZYSKIE,1.0,7.0
